Movie_Names,Descriptions,Release_Dates,Director_Names,Ratings,Durations,Actors_list,Filming_Dates
Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,Quentin Tarantino,8.3,99 min,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",29 July 1991 - 31 August 1991
Spy Game,Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.,2001,Tony Scott,7.1,126 min,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane']",5 November 2000 - 16 March 2001
Donnie Brasco,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",1997,Mike Newell,7.7,127 min,"['Al Pacino', 'Johnny Depp', 'Michael Madsen', 'Bruno Kirby']",19 February 1996 - 23 May 1996
Matchstick Men,A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,2003,Ridley Scott,7.3,116 min,"['Nicolas Cage', 'Alison Lohman', 'Sam Rockwell', 'Bruce Altman']",15 July 2002 - 31 August 2002
Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,2009,Guy Ritchie,7.6,128 min,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong']",3 October 2008 - January 2009
The Mule,A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,2018,Clint Eastwood,7,116 min,"['Clint Eastwood', 'Patrick L. Reyes', 'Cesar De León', 'Gustavo Muñoz']",2 June 2018
Panic Room,"A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room, when three men break-in, searching for a missing fortune.",2002,David Fincher,6.8,112 min,"['Jodie Foster', 'Kristen Stewart', 'Forest Whitaker', 'Dwight Yoakam']",8 January 2001 - 29 June 2001
Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,2017,Taylor Sheridan,7.7,107 min,"['Elizabeth Olsen', 'Jeremy Renner', 'Graham Greene', 'Kelsey Asbille']",12 March 2016 - 25 April 2016
American Psycho,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",2000,Mary Harron,7.6,101 min,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage']",28 February 1999 - 23 April 1999
The Boondock Saints,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,1999,Troy Duffy,7.8,108 min,"['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']",10 August 1998 - 26 September 1998
L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",1997,Curtis Hanson,8.2,138 min,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger']",6 May 1996 - 22 August 1996
Cape Fear,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.",1991,Martin Scorsese,7.3,128 min,"['Robert De Niro', 'Nick Nolte', 'Jessica Lange', 'Juliette Lewis']",19 November 1990 - 17 March 1991
Lord of War,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,2005,Andrew Niccol,7.6,122 min,"['Nicolas Cage', 'Ethan Hawke', 'Jared Leto', 'Bridget Moynahan']",2 August 2004 - 2 November 2004
Enemy of the State,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,1998,Tony Scott,7.3,132 min,"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Lisa Bonet']",5 November 1997 - 6 April 1998
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,2015,Denis Villeneuve,7.6,121 min,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro', 'Jon Bernthal']",30 June 2014
Ocean's Eleven,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,2001,Steven Soderbergh,7.7,116 min,"['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Matt Damon']",11 February 2001 - 7 June 2001
